Идентификатор,Наименование,Подгруппа,Группа мер,Парируемые способы реализации угроз,Парируемые угрозы
ИАФ.6.1,"Использование протоколов аутентификации, обеспечивающих взаимную аутентификацию пользователей",ИАФ.6 Двусторонняя аутентификация,ИАФ Идентификация и аутентификация,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИАФ.7.1,Организация защиты аутентификационной информации криптографическими методами шифрования трафика. Осуществление контроля целостности передаваемой аутентификационной информации. Организация защищенной передачи данных с использованием идентификаторов. Реализация методов динамической аутентификации.,ИАФ.7 Защита аутентификационной информации при передаче,ИАФ Идентификация и аутентификация,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.26.4 Удаление (изменение, шифрование) данных в системе резервирования;
СП.17.8 Восстановление аутентификационной информации из сетевого трафика;
СП.17.11 Перехват одноразовых паролей;
СП.17.12 Восстановление пароля из ранее полученной аутентификационной информации ",УБИ.2 Угроза несанкционированного доступа
ИНЦ.0.1,Разработка правил и процедур (политик) реагирования на компьютерные инциденты ,ИНЦ.0 Регламентация правил и процедур реагирования на компьютерные инциденты,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.1.1,"Сбор и первичная обработка информации, поступающей от источников событий информационной безопасности ",ИНЦ.1 Выявление компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.1.2,Автоматический анализ событий информационной безопасности и выявление компьютерных инцидентов (компьютерных атак) ,ИНЦ.1 Выявление компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.1.3,Ретроспективный анализ данных и выявление не обнаруженных ранее компьютерных инцидентов ,ИНЦ.1 Выявление компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.2.1,Определение механизмов оперативного информирования пользователями службы безопасности о фактах выявления компьютерного инцидента. Назначение ответственного лица за информирование НКЦКИ.,ИНЦ.2 Информирование о компьютерных инцидентах,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.3.1,"Назначение должностного лица (группы расследования), имеющего навыки проведения подобных расследований",ИНЦ.3 Анализ компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.3.2,"Определение текущего и потенциального воздействия инцидента на организацию, идентификация затронутой инфраструктуры и определение соответствующего направления работы",ИНЦ.3 Анализ компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.4.1,"Переоценка угроз безопасности информации, повлекших возникновение инцидента ",ИНЦ.4 Устранение последствий компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.4.2,"Определение в соответствии с выявленными угрозами безопасности инофрмации мер защиты информации для минимизации выявленных угроз, в случае повторения инцидента",ИНЦ.4 Устранение последствий компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.4.3," Актуализация необходимых политик, регламентов, инструкций",ИНЦ.4 Устранение последствий компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.4.4,"Проведение обучения персонала организации, включая сотрудников подразделения по защите информации, для повышения осведомленности в части обеспечения безопасности",ИНЦ.4 Устранение последствий компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра;
СП.22.27 Открытое перенаправление;
СП.22.23 Захват сеанса пользователя (Session Hijacking);
СП.22.22 Подмена действий пользователя (Clickjacking)","УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.1,Совершенствование политик информационной безопасности,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.2,"Проведение дополнительного обучения сотрудников, ознакомление с правилами обращения с конфиденциальной информацией",ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.3,Разработка соответствующих регламентов,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.4,Доведение до сотрудников информации о недопустимости несанкционированной передачи конфиденциальной информации за пределы организации и ответственности за нарушение установленных в организации правил,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.5,Доведение до сотрудников информации о недопустимости несанкционированной передачи конфиденциальной информации за пределы организации и ответственности за нарушение установленных в организации правил,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.6,Ограничение доступа сотрудника к конфиденциальной информации,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.7,Вынесение предупреждений и другие меры административного характера,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.8,Установка средств защиты информации,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.9,Модернизация или замена компонентов информационных систем,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.10,Пересмотр и настройка минимальных прав доступа,ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.5.11,"Проведение аудита защищенности, тестирования на проникновение",ИНЦ.5 Принятие мер по предотвращению повторного возникновения компьютерных инцидентов,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
ИНЦ.6.1,Регламентация правил и процедур защиты информации о событиях безопасности,ИНЦ.6 Хранение и защита информации о компьютерных инцидентах,ИНЦ Реагирование на компьютерные инциденты,"СП.25.2 Атаки на протоколы достижения консенсуса;
СП.25.4 Атаки на услуги системы с распределенным реестром;
СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
