Идентификатор,Наименование,Описание,Ущерб
Н.31,Причинение ущерба жизни и здоровью людей.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.32,Прекращение или нарушение функционирования объектов обеспечения жизнедеятельности населения.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.33,Прекращение или нарушение функционирования объектов транспортной инфраструктуры.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.34,Прекращение или нарушение функционирования государственного органа в части невыполнения возложенной на него функции (полномочия).,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.35,Прекращение или нарушение функционирования сети связи.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.36,Отсутствие доступа к государственной услуге.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.37,"Нарушение условий международного договора Российской Федерации, срыв переговоров или подписания планируемого к заключению международного договора Российской Федерации.",Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.38,"Снижение уровня дохода государственной корпорации, государственной организации или организации с государственным участием.",Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.39,Возникновение ущерба бюджетам Российской Федерации.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.40,"Прекращение или нарушение проведения клиентами операций по банковским счетам и (или) без открытия банковского счета или операций в системно значимой кредитной организации, оператором услуг платежной инфраструктуры системно и (или) социально значимых платежных систем, системно значимой инфраструктурной организацией финансового рынка.",Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.41,Вредные воздействия на окружающую среду.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.42,Нарушение законодательства Российской Федерации.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.43,"Публикация недостоверной социально значимой информации на веб-ресурсах, которая может привести к социальной напряженности, панике среди населения и др.",Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.44,"Нарушение штатного режима функционирования автоматизированной системы управления и управляемого объекта и/или процесса, если это ведет к выводу из строя технологических объектов, их компонент.",Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.45,"Нарушение общественного правопорядка, возможность потери или снижения уровня контроля за общественным правопорядком.",Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.46,Нарушение выборного процесса.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.47,Увеличение количества жалоб в органы государственной власти или органы местного самоуправления.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.48,Появление негативных публикаций в общедоступных источниках.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.49,Доступ к системам и сетям с целью незаконного использования вычислительных мощностей.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.50,Использование веб-ресурсов государственных органов для распространения и управления вредоносным программным обеспечением.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.51,Утечка информации ограниченного доступа.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
Н.52,Непредставление государственных услуг.,Данные уточняются,"Ущерб государству в области обеспечения обороны страны, безопасности государства и правопорядка, а также в социальной, экономической, политической, экологической сферах деятельности"
